census2007,naics2007
0170,111
0180,112
0190,"1131, 1132"
0270,1133
0280,114
0290,115
0370,211
0380,2121
0390,2122
0470,2123
0480,21
0490,213
0770,23
1070,"3111, 3112"
1080,3113
1090,3114
1170,3115
1180,3116
1190,311811
1270,3118
1280,"3117, 3119"
1290,311
1370,3121
1390,3122
1470,3131
1480,3132
1490,3133
1570,31411
1590,314
1670,"31324, 3151"
1680,3152
1690,3159
1770,3162
1790,"3161, 3169"
1870,3221
1880,32221
1890,"32222,32223, 32229"
1990,3231
2070,32411
2090,32419
2170,3252
2180,3253
2190,3254
2270,3255
2280,3256
2290,"3251, 3259"
2370,3261
2380,32621
2390,"32622, 32629"
2470,32711
2480,32712
2490,3272
2570,"3273, 3274"
2590,3279
2670,"3311, 3312"
2680,3313
2690,3314
2770,3315
2780,3321
2790,3322
2870,"3323, 3324"
2880,3327
2890,3328
2970,"332992, 332993, 332994, 332995  "
2980,"3325, 3326, 3329"
2990,"331, 332"
3070,33311
3080,"33312, 33313"
3090,3333
3170,3335
3180,3336
3190,"3332, 3334, 3339"
3290,333
3360,3341
3370,"3342, 3343"
3380,3345
3390,"3344, 3346"
3470,3352
3490,"3351, 3353, 3359"
3570,"3361, 3362, 3363"
3580,"336411, 336412, 336413"
3590,"336414, 336415, 336419"
3670,3365
3680,3366
3690,3369
3770,3211
3780,3212
3790,"321991, 321992"
3870,3219
3890,337
3960,3391
3970,"33992, 33993"
3980,3399
3990,"31, 32, 33"
4070,4231
4080,4232
4090,4233
4170,4234
4180,4235
4190,4236
4260,4237
4270,4238
4280,42393
4290,4239
4370,4241
4380,"4242, 4246"
4390,4243
4470,4244
4480,4245
4490,4247
4560,4248
4570,42491
4580,4249
4585,4251
4590,42
4670,4411
4680,4412
4690,4413
4770,442
4780,443111
4790,"443112, 44312"
4870,4441
4880,44413
4890,4442
4970,4451
4980,4452
4990,4453
5070,44611
5080,446
5090,447
5170,4481
5180,44821
5190,4483
5270,"44313, 45111, 45112"
5280,45113
5290,"45114, 45122"
5370,45121
5380,45211
5390,4529
5470,4531
5480,45321
5490,4533
5570,45322
5580,4539
5590,454111
5591,454112
5592,454113
5670,4542
5680,45431
5690,45439
5790,"44, 45"
6070,481
6080,482
6090,483
6170,484
6180,"4851, 4852, 4854, 4855, 4859 "
6190,4853
6270,486
6280,487
6290,488
6370,491
6380,492
6390,493
0570,2211
0580,2212
0590,"2211, 2212"
0670,"22131, 22133"
0680,22132
0690,22
6470,51111
6480,5111
6490,5112
6570,5121
6590,5122
6670,515
6672,51913
6680,5171
6690,"5172, 5174, 5179"
6695,5182
6770,51912
6780,5191
6870,"521, 52211,52219"
6880,"52212, 52213"
6890,"5222, 5223"
6970,"523, 525"
6990,524
7070,531
7080,5321
7170,53223
7180,"53221, 53222, 53229, 5323"
7190,"5324, 533"
7270,5411
7280,5412
7290,5413
7370,5414
7380,5415
7390,5416
7460,5417
7470,5418
7480,54194
7490,5419
7570,55
7580,5613
7590,5614
7670,5615
7680,5616
7690,5617
7770,56173
7780,"5611, 5612, 5619"
7790,562
7860,6111
7870,"6112, 6113"
7880,"6114, 6115"
7890,"6116, 6117"
7970,6211
7980,6212
7990,62131
8070,62132
8080,6213
8090,6214
8170,6216
8180,"6215, 6219"
8190,622
8270,6231
8290,"6232, 6233, 6239"
8370,6241
8380,6242
8390,6243
8470,6244
8560,711
8570,712
8580,71395
8590,713
8660,7211
8670,"7212, 7213"
8680,"7221, 7222, 7223"
8690,7224
8770,8111
8780,811192
8790,8112
8870,8113
8880,8114
8890,8114
8970,812111
8980,812112
8990,"812113, 81219"
9070,8123
9080,8122
9090,8129
9160,8131
9170,"8132, 8133, 8134"
9180,81393
9190,8139
9290,814
9370,"92111, 92112, 92114, 92115"
9380,92113
9390,92119
9470,"922, 92115"
9480,923
9490,"924, 925"
9570,"926, 927"
9590,928
9670,928110
9680,928110
9690,928110
9770,928110
9780,928110
9790,928110
9870,928110
