"lwage","cdf_tech_ws","cdf_cont_ws","cdf_tech_comp","lwage_mid","d_cdf_tech_ws","d_cdf_cont_ws","d_cdf_tech_comp"
-3.01968378121381,0.00143749594528509,0.000504645336718092,0.000428565888512129,-6.06096105259323,0.00131763534484412,0.000504645334748566,0.00042856588661951
0.108102048003532,0.00200638124014111,0.00242964187101106,0.00244932226505814,-1.45579086660514,0.000568885294856017,0.00192499653429297,0.00202075637654601
0.618784541426311,0.00258073501726141,0.00354776321370371,0.00309347271601316,0.363443294714921,0.000574353777120299,0.00111812134269264,0.000644150450955028
0.801249228563477,0.00398128204488044,0.00411623847389194,0.00328956816761444,0.710016884994894,0.00140054702761903,0.000568475260188233,0.000196095451601271
1.01366289526113,0.00442062445253847,0.00546204373690584,0.004128005101233,0.907456061912303,0.000439342407658038,0.0013458052630139,0.000838436933618561
1.13466156591259,0.00495542396513118,0.0067101254460154,0.00501410869422986,1.07416223058686,0.000534799512592703,0.00124808170910956,0.000886103592996863
1.24740177329205,0.00596832291680499,0.00764185925540132,0.00560063603153553,1.19103166960232,0.00101289895167381,0.000931733809385923,0.00058652733730567
1.34927242232777,0.00689441587168566,0.00869541933907524,0.00623955977905286,1.29833709780991,0.000926092954880667,0.00105356008367392,0.000638923747517331
1.41431370064986,0.00766561010427002,0.00972359444717102,0.00671916071013767,1.38179306148882,0.000771194232584369,0.00102817510809578,0.000479600931084808
1.45513569517012,0.00879765561647138,0.01057578097002,0.00729057157329727,1.43472469790999,0.00113204551220135,0.000852186522848981,0.000571410863159605
1.49439640912342,0.0102074379778307,0.0115730692559822,0.00754565191266763,1.47476605214677,0.00140978236135931,0.000997288285962213,0.000255080339370353
1.50826025592713,0.0102183871360599,0.0125199459240128,0.00814202170366828,1.50132833252527,1.09491582292627e-05,0.000946876668030604,0.000596369791000652
1.54617998502245,0.0105022505110235,0.0138407348550048,0.00877167235006,1.52722012047479,0.000283863374963531,0.00132078893099195,0.000629650646391726
1.58866708779464,0.0109204659043177,0.0150684686399236,0.00921819726178518,1.56742353640855,0.000418215393294187,0.00122773378491887,0.000446524911725178
1.61493868727179,0.0113741092540505,0.0165577041234622,0.0101996769027697,1.60180288753322,0.000453643349732791,0.00148923548353853,0.000981479640984561
1.64383527665968,0.0127282627321204,0.018960142907743,0.0114998309004324,1.62938698196574,0.00135415347806996,0.00240243878428084,0.00130015399766269
1.64383527665968,0.0127282627321204,0.018960142907743,0.0114998309004324,1.64383527665968,0,0,0
1.68465727117994,0.0134000846057034,0.0202821773167734,0.0125154455391144,1.66424627391981,0.000671821873582964,0.00132203440903042,0.00101561463868199
1.70445989847612,0.013495891860028,0.0227130091867908,0.0131721552813716,1.69455858482803,9.58072543246272e-05,0.00243083187001741,0.000656709742257205
1.70445989847612,0.013495891860028,0.0227130091867908,0.0131721552813716,1.70445989847612,0,0,0
1.71645617442824,0.0137019909144154,0.0231856361423367,0.0132801659617218,1.71045803645218,0.00020609905438738,0.000472626955545907,0.000108010680350192
1.72771676064039,0.0143573587728695,0.0241565560336323,0.0133673204661932,1.72208646753431,0.000655367858454114,0.000970919891295597,8.71545044714116e-05
1.75044501171794,0.0149148227723921,0.0249965321823208,0.0138197843190655,1.73908088617916,0.000557463999522619,0.000839976148688422,0.000452463852872261
1.76161831231607,0.0150606767164537,0.0273272482066759,0.0144744945077996,1.75603166201701,0.000145853944061599,0.00233071602435518,0.000654710188734134
1.76739420750595,0.0151373551453316,0.0273273217082901,0.0144744945077996,1.76450625991101,7.66784288779177e-05,7.35016141770184e-08,0
1.78689611950034,0.0161321437499797,0.0283474893172619,0.0152722382598779,1.77714516350314,0.000994788604648076,0.00102016760897183,0.000797743752078223
1.79440813513906,0.0162480052213565,0.029708573583204,0.0158840627625637,1.7906521273197,0.000115861471376828,0.00136108426594201,0.000611824502685834
1.81568553358634,0.0165649998218902,0.0317222468692301,0.0165210205841586,1.8050468343627,0.0003169946005337,0.00201367328602614,0.000636957821594945
1.81980769838521,0.0170165836271508,0.031790369834688,0.0165266279489128,1.81774661598578,0.000451583805260516,6.8122965457898e-05,5.60736475415866e-06
1.83651962048919,0.0174069927669874,0.0334290589050281,0.0174141886110565,1.8281636594372,0.000390409139836661,0.00163868907034009,0.000887560662143662
1.86063547073075,0.0188294849567342,0.0340932715340839,0.0175747362675817,1.84857754560997,0.00142249218974679,0.000664212629055839,0.000160547656525296
1.86697882797389,0.0193048186163994,0.0482760472904361,0.0224112992984812,1.86380714935232,0.000475333659665247,0.0141827757563521,0.00483656303089949
1.86697882797389,0.0193048186163994,0.0482760472904361,0.0224112992984812,1.86697882797389,0,0,0
1.86697882797389,0.0193048186163994,0.0482760472904361,0.0224112992984812,1.86697882797389,0,0,0
1.86697882797389,0.0193048186163994,0.0482760472904361,0.0224112992984812,1.86697882797389,0,0,0
1.86697882797389,0.0193048186163994,0.0482760472904361,0.0224112992984812,1.86697882797389,0,0,0
1.86697882797389,0.0193048186163994,0.0482760472904361,0.0224112992984812,1.86697882797389,0,0,0
1.86697882797389,0.0193048186163994,0.0482760472904361,0.0224112992984812,1.86697882797389,0,0,0
1.86697882797389,0.0193048186163994,0.0482760472904361,0.0224112992984812,1.86697882797389,0,0,0
1.86697882797389,0.0193048186163994,0.0482760472904361,0.0224112992984812,1.86697882797389,0,0,0
1.86697882797389,0.0193048186163994,0.0482760472904361,0.0224112992984812,1.86697882797389,0,0,0
1.88222205738659,0.0198659828139062,0.0492036847740672,0.0233768297169736,1.87460044268024,0.000561164197506799,0.000927637483631109,0.000965530418492344
