"year","lwage","cons","tech_group","schooling","experience","experience_2","experience_3","experience_4","union_covered","married","RACEOther","RACEWhite","fulltime","educ_exp_groupbelow_hs_experience29","educ_exp_groupbelow_hs_experience30","educ_exp_groupbelow_hs_experience9","educ_exp_groupcollege_experience19","educ_exp_groupcollege_experience29","educ_exp_groupcollege_experience30","educ_exp_groupcollege_experience9","educ_exp_groupcollege_some_experience19","educ_exp_groupcollege_some_experience29","educ_exp_groupcollege_some_experience30","educ_exp_groupcollege_some_experience9","educ_exp_groupgraduate_experience19","educ_exp_groupgraduate_experience29","educ_exp_groupgraduate_experience30","educ_exp_groupgraduate_experience9","educ_exp_grouphs_experience19","educ_exp_grouphs_experience29","educ_exp_grouphs_experience30","educ_exp_grouphs_experience9"
2017,-9.10223832397265,441.758398945489,-17.1568254811903,-1.79961799838923,53.8034239373739,-15.621265711458,0.632519320503679,-0.00724064172390153,0.989239114290641,-12.7915583614552,-14.7095856023662,2.82856646687727,17.0592164993669,780.278612455389,423.65173959914,-515.287609688954,9.05351328392936,816.152797431814,438.671854354199,-506.019359364737,3.25190440315278,810.209394859406,433.105913392501,-510.550777292016,13.8316800444343,820.628408250319,442.30474294647,-481.436720274112,1.34531622318937,808.137516577566,430.7130132478,-513.00296145299
2017,-3.01968378121381,-25.7469511549065,0.655490139258104,0.499867642040632,-0.0823768036103819,-0.014555668383547,0.00082420859764801,-1.13508312481656e-05,-0.349132077732567,-0.524188865820869,-1.05793248146385,-0.609345237017575,0.934344269247469,0.892752580160626,14.9582988871674,-1.75169350585011,12.2074877674324,13.9620118802614,-2.64395472085266,11.7194433967601,-1.88059068819107,15.8938810447239,15.660803284388,13.5972888011012,12.361490383576,12.6708570629091,13.5184909226862,10.8271307013326,15.2504435561245,16.9939664235919,14.0661534407524,-2.43756693173169
2017,0.108102048003532,-25.076559441229,0.166282554748693,0.579557657338637,-0.0985572841007012,0.0136014724711714,-0.000344330249215922,1.81413876878948e-06,-0.647281239207284,-0.57222214103037,0.0815397664843951,-0.621276899406348,0.684551136443744,10.6224910328087,13.1878554692163,12.2462587838289,8.45804805524028,9.18982630253242,8.73798020396588,9.64593937852781,10.2712775946793,10.4477584318735,10.5904888047082,11.4690966678186,7.83824436419557,6.80120354044075,7.98406278954914,9.01028245852531,11.9869306237732,11.6114198966718,9.11476095718228,12.5449231629418
2017,0.618784541426311,-9.39596528584296,0.0582810098249839,0.184540281057518,-0.246826586378526,0.024110752585727,-0.000737675370957299,6.92680433590322e-06,-0.149964607900737,-0.36013256637557,0.647133322375766,-0.391794322066714,0.288669020670502,0.230675262317356,2.72259444569009,3.15586082484266,-0.0162478554525091,1.05568271356329,0.789208758259699,1.24749426083052,1.57938863507145,1.3771365711115,1.91991189721222,2.02332881664126,0.326667958335655,-0.373291082540177,0.999538085730099,1.57000765052856,1.97234516899768,1.95967638090037,1.09460423307795,2.94942272529224
2017,0.801249228563477,-4.02547997525526,-0.0201246757264987,0.0734683816907941,-0.225300320526836,0.0181991329137482,-0.000539365215059116,5.18341242712514e-06,-0.5695560804177,-0.360812048927131,0.546777034182048,-0.207226489161309,-0.473308801070594,-0.469660052654071,-0.483025020022791,0.458060236098912,-1.93612878542211,-0.906776418126825,-1.30033463088881,-1.67705391412677,-0.658458793696508,-0.9790112758159,-0.377619056281014,-0.873858162975172,-1.91123717243605,-2.35072893383133,-1.12314337724168,-0.985358501756752,-0.308363947930029,-0.531554858959418,-1.77706211748787,-0.338081569550494
2017,1.01366289526113,-4.42388063076568,-0.0821864634465445,0.130877044391012,-0.263462710494963,0.0188016946094787,-0.000515725041882103,4.65283192305915e-06,-0.695628693933492,-0.426500196102367,0.594723484092934,-0.0633286438620962,-0.287222698879004,-0.361454216885765,0.632118288327,0.391952136212542,-2.15320534827775,-1.22827442260191,-1.64786407789336,-1.9681300850809,-0.462733446733437,-1.12264388489436,-0.561168538118813,-1.15412538451841,-2.0676785649487,-2.77712795224473,-1.58318243056294,-1.6923865298298,-0.455488118882502,-0.634667860584398,-1.868391665033,-0.632643064664213
2017,1.13466156591259,-4.43318524516991,-0.194723571014199,0.170569772551942,-0.27253284166135,0.0166189292910787,-0.000413041264331123,3.4784950041197e-06,-0.842823207172717,-0.56465077799014,0.758424605420391,0.107317940847251,-0.522668419450743,-0.17402178598141,1.06762435098699,-0.0826086741429206,-2.30808662153537,-1.24655164910115,-1.76360302324266,-2.20590322799151,-0.342479816269613,-0.794900194563652,-0.371602890162147,-1.31014430207904,-2.2726876147433,-2.87056140857167,-1.77193446038407,-2.17837831276692,-0.506341368183032,-0.494368708989423,-1.32405473060352,-0.9855594047669
2017,1.24740177329205,-3.9402514829645,-0.391288357833785,0.145728883466001,-0.353422085218976,0.0242943764922032,-0.000639183438524349,5.54504732831466e-06,-0.385351996311838,-0.428808752940521,0.483471390115111,-0.198603699367417,-0.354366165266989,-0.413451961264787,0.938460346399417,0.0327019547662068,-1.7091232923576,-1.14556838758578,-1.36646198389779,-1.75763054504714,-0.281032437222976,-0.937202538791921,-0.172809683474783,-0.876434405798243,-2.05679455889089,-2.85062207113479,-1.70145451416585,-1.84485827606235,-0.472556732257636,-0.438114633199521,-0.605911230070618,-0.511198420225523
2017,1.34927242232777,-3.33822857927843,-0.469508575174455,0.130733354714831,-0.360420907704689,0.0226441075079578,-0.000576549143779071,5.07761817372738e-06,-0.555419389493305,-0.445879440086946,0.263621360163372,-0.290665572762946,-0.454677197362289,-0.291783096236851,1.16447588058866,-0.250380911026851,-1.5731449682399,-0.883290112593419,-1.25518099162618,-1.68124506884103,-0.00385518951505689,-0.500959329515202,-0.10223218313882,-0.480563043604081,-1.85521965714145,-2.53133054274754,-1.51656517303174,-1.83846597244654,-0.404778894873236,-0.256718235536484,-0.356721906474302,-0.704132141366401
2017,1.41431370064986,-2.84010710473079,-0.537038699746573,0.101932011100941,-0.348987886709323,0.0205455728743659,-0.000524941363517114,4.66524334918823e-06,-0.639447221632926,-0.367272524985861,0.286138244674839,-0.35264090401413,-0.542581068108936,-0.0972305859911912,1.77605997070743,-0.390938836110989,-1.39797221410002,-0.479485646921186,-0.439862157337251,-1.48179469724404,0.108853573379166,-0.00536750074338719,0.46243238068679,-0.408477548530801,-1.62436139038114,-2.07581357798045,-0.848506709076366,-1.69218612509557,-0.326917211174332,0.448394064151308,0.17365925287203,-0.392215976483095
